Designação,Nome,Endereço,Bairro,CRE,Atividade,Telefones,Link cartela,GlobalID,Data_Inauguracao,Designacao_num,Nome_abrev,Cod_microarea_SME
515803,Espaço de Desenvolvimento Infantil Pio XII,"Rua dos Rubis, 941",Rocha Miranda,5,Espaço de Desenvolvimento Infantil - EDI,3372-5231,http://webapp.sme.rio.rj.gov.br/jcartela/publico/pesquisa.do?idSetor=10953&cmd=load,{2E366947-D18F-4B95-82B0-90762DE79346},,515.803,EDI Pio XII,5.11
515804,Espaço de Desenvolvimento Infantil Fernão Dias,"Rua Marapendi, 257",Marechal Hermes,5,Espaço de Desenvolvimento Infantil - EDI,3390-0711,http://webapp.sme.rio.rj.gov.br/jcartela/publico/pesquisa.do?idSetor=10976&cmd=load,{9E8834D4-D1F2-46D2-AAF6-06AEB97959EF},,515.804,EDI Fernão Dias,5.14
833803,Espaço de Desenvolvimento Infantil Frei Orlando,"Av. Duque de Caxias, S/Nº",Vila Militar,8,Espaço de Desenvolvimento Infantil - EDI,2457-4285,http://webapp.sme.rio.rj.gov.br/jcartela/publico/pesquisa.do?idSetor=11948&cmd=load,{0473766A-86CE-45A1-8C3B-B4E3FB971ABD},,833.803,EDI Frei Orlando,8.14
833805,Espaço de Desenvolvimento Infantil Deodoro,"Estr. Marechal Alencastro, S/Nº",Deodoro,8,Espaço de Desenvolvimento Infantil - EDI,2457-4163,http://webapp.sme.rio.rj.gov.br/jcartela/publico/pesquisa.do?idSetor=11991&cmd=load,{FF6DC0DC-C56A-48D9-9D1B-90DEC438584B},,833.805,EDI Deodoro,8.14
1019811,Espaço de Desenvolvimento Infantil Professora Raquel Kelly Lanera,"Estrada de Manguariba, 391",Paciência,10,Espaço de Desenvolvimento Infantil - EDI,2413-6120,http://webapp.sme.rio.rj.gov.br/jcartela/publico/pesquisa.do?idSetor=17970&cmd=load,{0684B601-7A2A-4B79-8F94-B332B22C39C7},02/11/2016 22:00,1.019.811,EDI Profª Raquel Kelly Lanera,10.1
1019812,Espaço de Desenvolvimento Infantil Elizabeth Papera,"Rua Engenheiro Cantarino Mota, 101, Lt.15,Qd.60",Paciência,10,Espaço de Desenvolvimento Infantil - EDI,3292-1802,http://webapp.sme.rio.rj.gov.br/jcartela/publico/pesquisa.do?idSetor=19123&cmd=load,{3ACC2751-5CB4-4D9F-A234-E016FABF7F92},,1.019.812,EDI Elizabeth Papera,10.4
1026804,Espaço de Desenvolvimento Infantil Professora Luzia Maria Moreira do Nascimento,"Estrada do Mato Alto, 4790",Guaratiba,10,Espaço de Desenvolvimento Infantil - EDI,,http://webapp.sme.rio.rj.gov.br/jcartela/publico/pesquisa.do?idSetor=40110&cmd=load,{5EEF55AD-2FE5-41DE-B672-054C81BF9C53},,1.026.804,EDI Profª Luzia Mª Moreira do Nascimento,10.28
1026803,Espaço de Desenvolvimento Infantil Padre Carlos Henrique de Souza,"Rua Silvânia, s/n°",Guaratiba,10,Espaço de Desenvolvimento Infantil - EDI,3316-8374,http://webapp.sme.rio.rj.gov.br/jcartela/publico/pesquisa.do?idSetor=40108&cmd=load,{04BAD4BB-817B-45D5-8476-9F68B8C7AAA3},21/09/2016 21:00,1.026.803,EDI Pe. Carlos Henrique de Souza,10.26
515808,Creche Municipal Guaraciara Rodrigues Diniz,RUA FAUSTO LAURINDO829,Madureira,5,Creche Municipal,,http://webapp.sme.rio.rj.gov.br/jcartela/publico/pesquisa.do?idSetor=18696&cmd=load,{B208DDAB-2E83-4976-BB9F-021E74C48F9D},,515.808,CM Guaraciara Rodrigues Diniz,5.7
515807,Creche Municipal Buriti Congonhas,RUA DAS FLORES2,Madureira,5,Creche Municipal,,http://webapp.sme.rio.rj.gov.br/jcartela/publico/pesquisa.do?idSetor=18646&cmd=load,{53D3A6D2-3303-46BA-A18D-89996AC12DC4},,515.807,CM Buriti Congonhas,5.8
918810,Espaço de Desenvolvimento Infantil Dom Bosco,"Estr. Santa Maria, 850 Vila Nova",Campo Grande,9,Espaço de Desenvolvimento Infantil - EDI,2413-5165,http://webapp.sme.rio.rj.gov.br/jcartela/publico/pesquisa.do?idSetor=11146&cmd=load,{CB180C88-386A-401F-96AE-06EE1180A219},,918.810,EDI Dom Bosco,9.9
918811,Espaço de Desenvolvimento Infantil Isabel,"Av. Cesário de Melo, 5.580 - Benjamin Dumont",Inhoaíba,9,Espaço de Desenvolvimento Infantil - EDI,2415-7490,http://webapp.sme.rio.rj.gov.br/jcartela/publico/pesquisa.do?idSetor=11734&cmd=load,{9DED8F23-A26F-42F7-B802-A833056C5CDE},,918.811,EDI Isabel,9.14
918809,Espaço de Desenvolvimento Infantil Campo Grande,"Rua Olinda Elis, 99",Campo Grande,9,Espaço de Desenvolvimento Infantil - EDI,3394-4675,http://webapp.sme.rio.rj.gov.br/jcartela/publico/pesquisa.do?idSetor=11106&cmd=load,{B8631EFB-52CC-4849-AF36-1E2FE9FCB3F7},,918.809,EDI Campo Grande,9.18
622801,Espaço de Desenvolvimento Infantil Ernani Cardoso,"Av. Brasil, 23.226",Guadalupe,6,Espaço de Desenvolvimento Infantil - EDI,2450-3602,http://webapp.sme.rio.rj.gov.br/jcartela/publico/pesquisa.do?idSetor=11388&cmd=load,{069C6935-A549-4ED7-8DF0-F1BAC4347A2D},30/12/2010 22:00,622.801,EDI Ernani Cardoso,6.15
625810,Espaço de Desenvolvimento Infantil Professora Marise Garcia Miranda,"Alameda dos Canários, S/Nº",Pavuna,6,Espaço de Desenvolvimento Infantil - EDI,3837-3463,http://webapp.sme.rio.rj.gov.br/jcartela/publico/pesquisa.do?idSetor=11625&cmd=load,{B4C8D958-0CCA-4D87-BFFF-EB302FFDA291},,625.810,EDI Profª Marise Garcia Miranda,6.1
103806,Espaço de Desenvolvimento Infantil Fundação Leão XIII,"Rua Laurindo Rabelo, 554",Estácio,1,Espaço de Desenvolvimento Infantil - EDI,2293-0310,http://webapp.sme.rio.rj.gov.br/jcartela/publico/pesquisa.do?idSetor=11538&cmd=load,{C2E21CE3-FA88-424F-83B5-C33E8E5C6ADF},,103.806,EDI Fundação Leão XIII,1.9
622802,Espaço de Desenvolvimento Infantil Guadalupe,"Rua Jornalista Hermano Requião, S/Nº",Guadalupe,6,Espaço de Desenvolvimento Infantil - EDI,2450-4126,http://webapp.sme.rio.rj.gov.br/jcartela/publico/pesquisa.do?idSetor=11506&cmd=load,{7D61A093-5ADB-4208-BFDF-3E6DE3815C3C},,622.802,EDI Guadalupe,6.16
107802,Espaço de Desenvolvimento Infantil Morro dos Telégrafos,"Rua Jupará, 91",Mangueira,1,Espaço de Desenvolvimento Infantil - EDI,3860-7971,http://webapp.sme.rio.rj.gov.br/jcartela/publico/pesquisa.do?idSetor=11474&cmd=load,{4BBCD543-70F3-418A-8A6C-7A1A63E658B1},,107.802,EDI M. dos Telégrafos,1.3
514804,Espaço de Desenvolvimento Infantil Vicente de Carvalho,"Rua Soldado Servino Mengarda, S/Nº",Vila Kosmos,5,Espaço de Desenvolvimento Infantil - EDI,3352-2591,http://webapp.sme.rio.rj.gov.br/jcartela/publico/pesquisa.do?idSetor=11874&cmd=load,{63B3C3D6-8E1E-4D5B-8696-ADBEB625F3F1},,514.804,EDI Vicente de Carvalho,5.1
1019815,Espaço de Desenvolvimento Infantil João Corrêa,"Rua Alberi Vieira dos Santos, S/Nº - Urucânia",Paciência,10,Espaço de Desenvolvimento Infantil - EDI,3395-3413,http://webapp.sme.rio.rj.gov.br/jcartela/publico/pesquisa.do?idSetor=11781&cmd=load,{B341FA07-E3C9-4C72-A7E8-F0BE62F6FA71},,1.019.815,EDI João Corrêa,10.5
1019817,Espaço de Desenvolvimento Infantil Professora Rosa Maria Alves de Oliveira,"Praça Álvaro Araújo Salazar, s/n - Conj.João XXIII",Santa Cruz,10,Espaço de Desenvolvimento Infantil - EDI,3365-5429,http://webapp.sme.rio.rj.gov.br/jcartela/publico/pesquisa.do?idSetor=11784&cmd=load,{6E8F3043-4D4F-43CA-8875-F63D0CC55A1B},,1.019.817,EDI Profª Rosa Mª Alves de Oliveira,10.7
817809,Espaço de Desenvolvimento Infantil República Árabe Unida,"Av. Santa Cruz, 4.773",Bangu,8,Espaço de Desenvolvimento Infantil - EDI,3331-2804,http://webapp.sme.rio.rj.gov.br/jcartela/publico/pesquisa.do?idSetor=11025&cmd=load,{6AB75FC6-EF2E-4AE1-943D-ED61CF98A8EE},,817.809,EDI República Árabe Unida,8.8
817810,Espaço de Desenvolvimento Infantil Vila do Vintém,"Rua Gal. Gomes de Castro, 360",Padre Miguel,8,Espaço de Desenvolvimento Infantil - EDI,33312980,http://webapp.sme.rio.rj.gov.br/jcartela/publico/pesquisa.do?idSetor=11053&cmd=load,{C47A33F9-6C3C-4C4E-B4FB-8871C6D4D632},,817.810,EDI Vila do Vintém,8.16
515805,Espaço de Desenvolvimento Infantil Rocha Pombo,"Rua Lima Barreto, 107",Quintino Bocaiuva,5,Espaço de Desenvolvimento Infantil - EDI,2229-0333,http://webapp.sme.rio.rj.gov.br/jcartela/publico/pesquisa.do?idSetor=10981&cmd=load,{98DC34E9-F63F-4018-86D6-07F654DF0596},,515.805,EDI Rocha Pombo,3.8
1019816,Espaço de Desenvolvimento Infantil Guandu,"Rua Um, Conjunto Hab. Guandu, Lote 217",Santa Cruz,10,Espaço de Desenvolvimento Infantil - EDI,3395-0119,http://webapp.sme.rio.rj.gov.br/jcartela/publico/pesquisa.do?idSetor=11782&cmd=load,{EA89BDED-653B-4807-B098-BF2DCBBFBE33},,1.019.816,EDI Guandu,10.7
102803,Espaço de Desenvolvimento Infantil Rachel de Queiroz,"Av. Presidente Vargas, S/Nº",Centro,1,Espaço de Desenvolvimento Infantil - EDI,2224-0979,http://webapp.sme.rio.rj.gov.br/jcartela/publico/pesquisa.do?idSetor=19114&cmd=load,{C8C40745-EA17-4235-A86C-901519660CD6},,102.803,EDI Rachel de Queiroz,1.7
625808,Espaço de Desenvolvimento Infantil Deputado Pedro Fernandes,"Rua Ender, 180",Coelho Neto,6,Espaço de Desenvolvimento Infantil - EDI,3837-8427,http://webapp.sme.rio.rj.gov.br/jcartela/publico/pesquisa.do?idSetor=39720&cmd=load,{4D28F479-BAAD-430F-A74E-C420EF3128E2},,625.808,EDI Dep. Pedro Fernandes,6.7
918812,Espaço de Desenvolvimento Infantil Professor Jorge Euclides Pereira Nunes,"Rua São Teodósio, S/N",Inhoaíba,9,Espaço de Desenvolvimento Infantil - EDI,3384-2139,http://webapp.sme.rio.rj.gov.br/jcartela/publico/pesquisa.do?idSetor= &cmd=load,{E3444CB7-B498-4C01-A9AB-3F7F878FE29C},29/09/2016 21:00,918.812,EDI Profº Jorge Euclides Pereira Nunes,9.11
1120001,Escola Municipal Cuba,"Praia do Zumbi, 25",Zumbi,11,Escola Municipal,3396-0452,http://webapp.sme.rio.rj.gov.br/jcartela/publico/pesquisa.do?idSetor=11324&cmd=load,{FD794572-55F0-4E6E-B0EA-443F2EB42C5F},,1.120.001,EM Cuba,11.6
1120002,Escola Municipal Cândido Portinari,"Rua Pracinha José Varela, S/Nº",Pitangueiras,11,Escola Municipal,3396-2770,http://webapp.sme.rio.rj.gov.br/jcartela/publico/pesquisa.do?idSetor=11323&cmd=load,{FB14314A-2BCE-467A-A6B9-B9E2621E7B57},,1.120.002,EM Cândido Portinari,11.6
1120003,Escola Municipal Abeilard Feijó,"Estr. da Cacuia, 1386",Cocotá,11,Escola Municipal,3396-8600,http://webapp.sme.rio.rj.gov.br/jcartela/publico/pesquisa.do?idSetor=11322&cmd=load,{DC5FC234-5C05-412B-B98A-FDB87C094559},,1.120.003,EM Abeilard Feijó,11.6
1120004,Escola Municipal Jornalista Orlando Dantas,"Rua Benedito Patrício, 248",Bancários,11,Escola Municipal,3396-0102,http://webapp.sme.rio.rj.gov.br/jcartela/publico/pesquisa.do?idSetor=11321&cmd=load,{DC0D805A-05FF-4CA7-8564-C7C899B2A26B},,1.120.004,EM Jorn. Orlando Dantas,11.5
1120005,Escola Municipal Dunshee de Abranches,"Rua Gipóia, 167",Bancários,11,Escola Municipal,3396-5005,http://webapp.sme.rio.rj.gov.br/jcartela/publico/pesquisa.do?idSetor=11320&cmd=load,{6BD1962B-8713-4B92-88E5-090029A9AB0E},,1.120.005,EM Dunshee de Abranches,11.5
1120006,Escola Municipal Amadeu Rocha,"Rua Doutor Manoel Marreiros, S/Nº",Bancários,11,Escola Municipal,3396-8302,http://webapp.sme.rio.rj.gov.br/jcartela/publico/pesquisa.do?idSetor=11319&cmd=load,{87B38FF5-C222-4258-9DA4-C58F7565B688},,1.120.006,EM Amadeu Rocha,11.5
1120007,Escola Municipal Rotary,"Av. Paranapuan, 204",Freguesia (ilha),11,Escola Municipal,3396-0402,http://webapp.sme.rio.rj.gov.br/jcartela/publico/pesquisa.do?idSetor=11318&cmd=load,{30F8A002-9381-4218-9802-2B485EA4C97E},,1.120.007,EM Rotary,11.5
